,comment,freq
0,tulsa,3
1,herald,3
2,vermont,3
3,harper,3
4,woburn,3
5,pleasanton,3
6,hagan,3
7,goodnight,3
8,stillwater,3
9,oswego,3
10,hagerstown,3
11,biggs,3
12,clint,3
13,yardley,3
14,burbank,3
15,roe,3
16,bessie,3
17,meridian,3
18,milton,3
19,sherman,3
20,homestead,3
21,rexburg,3
22,polo,3
23,baldwin,3
24,tahlequah,3
25,laverne,3
26,sully,3
27,cataract,3
28,floyd,3
29,eden,3
30,glide,3
31,divide,3
32,hockessin,3
33,grano,3
34,yucca,3
35,norris,3
36,lowes,3
37,westmont,3
38,lafayette,3
39,ashton,3
40,plainville,3
41,geiger,3
42,albertson,3
43,aberdeen,3
44,cuba,3
45,avon,3
46,cheyenne,3
47,cutter,3
48,romeo,3
49,oneida,3
50,millbrook,3
51,champion,3
52,emery,3
53,starr,4
54,vance,4
55,concord,4
56,abbott,4
57,clarence,4
58,elma,4
59,greene,4
60,carbon,4
61,irvine,4
62,commerce,4
63,ramos,4
64,birmingham,4
65,palmetto,4
66,henrietta,4
67,burnett,4
68,stockton,4
69,hickory,4
70,gordon,4
71,brazil,4
72,gallup,4
73,colon,4
74,cheney,4
75,cass,4
76,sarasota,4
77,lowell,4
78,prescott,4
79,hyde,4
80,wintergreen,4
81,amo,4
82,barnes,4
83,lathrop,4
84,stuart,4
85,hartselle,4
86,atlantic,4
87,erick,4
88,summit,4
89,index,4
90,newman,4
91,perdido,4
92,warner,4
93,kiana,4
94,dane,4
95,nitro,4
96,damon,4
97,campo,4
98,retreat,4
99,manchester,4
100,alba,4
101,kane,4
102,delia,4
103,sheldon,4
104,forks,4
105,leach,4
106,ida,4
107,wyoming,4
108,fountain,4
109,foley,4
110,experiment,4
111,walnut,4
112,frannie,4
113,sundown,4
114,kelley,4
115,ina,4
116,riverside,4
117,beatrice,4
118,cactus,4
119,melba,4
120,berlin,4
121,ware,4
122,astor,4
123,alvin,4
124,midtown,4
125,gentry,4
126,edgewater,4
127,rockaway,4
128,appleton,4
129,lubbock,4
130,gage,4
131,bowie,4
132,jennette,4
133,downey,4
134,diaz,4
135,tulare,4
136,oxford,4
137,nashville,4
138,century,4
139,dixon,4
140,marrero,4
141,fisher,4
142,pryor,4
143,morris,4
144,reform,4
145,muddy,4
146,paulina,4
147,supreme,4
148,trooper,4
149,northfield,4
150,victory,4
151,hatch,4
152,naperville,4
153,lindy,4
154,decatur,4
155,virgin,4
156,combs,4
157,harding,4
158,parma,4
159,ronda,4
160,shelbyville,4
161,merrill,4
162,holden,4
163,cope,4
164,aspen,4
165,endeavor,4
166,hughes,4
167,plush,4
168,atkins,4
169,kennedy,4
170,kingwood,4
171,andrews,4
172,florence,4
173,sylvester,4
174,zachary,4
175,chandler,4
176,ignacio,4
177,fremont,4
178,medina,4
179,bryant,4
180,inez,4
181,chapman,4
182,agency,4
183,unity,4
184,goodwell,4
185,singer,5
186,moline,5
187,palo,5
188,cincinnati,5
189,lyle,5
190,convent,5
191,marietta,5
192,canon,5
193,perrin,5
194,leigh,5
195,pierre,5
196,crocker,5
197,arlington,5
198,anthem,5
199,colton,5
200,temple,5
201,geraldine,5
202,hampton,5
203,tyrone,5
204,lolita,5
205,hanford,5
206,wilmington,5
207,turner,5
208,elmer,5
209,elmhurst,5
210,lupus,5
211,alliance,5
212,monument,5
213,hanna,5
214,lithium,5
215,aurelia,5
216,omega,5
217,argo,5
218,halls,5
219,concrete,5
220,kaneohe,5
221,stark,5
222,lakewood,5
223,thermal,5
224,douglas,5
225,wolverine,5
226,hayden,5
227,meadow,5
228,wagner,5
229,maurice,5
230,poland,5
231,cooper,5
232,nichols,5
233,sultana,5
234,hudson,5
235,evans,5
236,bradenton,5
237,oakley,5
238,northwest,5
239,savannah,5
240,lincoln,5
241,wyatt,5
242,flora,5
243,milan,5
244,jamaica,5
245,mina,5
246,lancaster,5
247,rand,5
248,sacramento,5
249,clever,5
250,tucker,5
251,plains,5
252,nadine,5
253,barry,5
254,ellis,5
255,topeka,5
256,traer,5
257,vale,5
258,leonard,5
259,antioch,5
260,harris,5
261,kinder,5
262,addison,5
263,newark,5
264,monmouth,5
265,robertson,5
266,hale,5
267,hazel,5
268,frederick,5
269,chambers,5
270,export,5
271,memphis,5
272,alameda,5
273,dawson,5
274,detroit,5
275,rogers,5
276,enterprise,5
277,pope,5
278,portal,5
279,phoenix,5
280,mallory,5
281,quinn,5
282,leroy,5
283,waves,5
284,stanley,5
285,winnie,5
286,manila,5
287,saluda,5
288,walton,5
289,farmington,5
290,grandfather,5
291,hoffman,5
292,friendship,5
293,bland,5
294,milano,5
295,shepherd,5
296,moody,5
297,covington,5
298,banner,5
299,peoria,5
300,westbury,5
301,champ,5
302,naples,5
303,cypress,5
304,ava,5
305,utica,5
306,armonk,5
307,cary,6
308,crouch,6
309,mabel,6
310,chili,6
311,lucas,6
312,isabel,6
313,speedway,6
314,largo,6
315,plano,6
316,darling,6
317,brooklyn,6
318,deposit,6
319,reynolds,6
320,garner,6
321,blanket,6
322,orleans,6
323,archie,6
324,keystone,6
325,irving,6
326,aurora,6
327,celebration,6
328,bennett,6
329,watson,6
330,noel,6
331,crown,6
332,hernandez,6
333,bellevue,6
334,oaks,6
335,slick,6
336,primrose,6
337,gore,6
338,caro,6
339,toast,6
340,jolly,6
341,duncan,6
342,sanders,6
343,loop,6
344,frost,6
345,derry,6
346,archer,6
347,camino,6
348,cleveland,6
349,downs,6
350,hollywood,6
351,nevada,6
352,royal,6
353,moscow,6
354,preston,6
355,clearwater,6
356,hilda,6
357,randall,6
358,mars,6
359,penn,6
360,daphne,6
361,chester,6
362,boulder,6
363,murphy,6
364,kirk,6
365,oriental,6
366,chico,6
367,glade,6
368,paris,6
369,harlem,6
370,kent,6
371,raleigh,6
372,jacksonville,6
373,canyon,6
374,wesley,6
375,venice,7
376,hanson,7
377,burke,7
378,gratis,7
379,raymond,7
380,cedar,7
381,holland,7
382,westminster,7
383,mildred,7
384,dover,7
385,airport,7
386,hampshire,7
387,sanford,7
388,tampa,7
389,milwaukee,7
390,wallace,7
391,troy,7
392,pacific,7
393,delta,7
394,burlington,8
395,manor,8
396,seattle,8
397,columbus,8
398,globe,8
399,segundo,8
400,norman,8
401,burt,8
402,alta,8
403,dakota,8
404,liberty,8
405,maribel,8
406,ferry,8
407,hunter,8
408,junior,8
409,pike,8
410,avery,9
411,russia,9
412,congress,9
413,belmont,9
414,harbor,9
415,edgar,9
416,magnolia,9
417,mills,9
418,newton,9
419,chestnut,9
420,louisiana,9
421,canadian,9
422,lakes,9
423,vista,9
424,alto,9
425,catalina,9
426,mesa,9
427,nile,10
428,charlotte,10
429,albany,10
430,rome,10
431,heath,10
432,orient,10
433,newborn,10
434,powell,10
435,elgin,10
436,glen,10
437,oakland,11
438,rocky,11
439,nash,11
440,portland,11
441,disney,11
442,manning,12
443,lorena,12
444,kansas,12
445,brook,12
446,university,12
447,tucson,12
448,china,12
449,forest,12
450,campus,12
451,newport,12
452,plaza,12
453,boston,13
454,oregon,13
455,franklin,13
456,willow,13
457,oklahoma,13
458,manhattan,14
459,philadelphia,14
460,sheridan,14
461,parkway,14
462,ridge,14
463,denver,15
464,sunshine,15
465,parks,15
466,buffalo,15
467,hills,16
468,perla,16
469,olga,16
470,orlando,16
471,springs,17
472,delaware,19
473,dallas,19
474,hometown,20
475,boulevard,22
476,hall,22
477,oak,23
478,jackson,24
479,ocean,25
480,mountain,25
481,central,26
482,jersey,26
483,tennessee,26
484,bay,31
485,houston,32
486,washington,34
487,stover,36
